,OECD Lead Ind,BLS Employ Diff,ISM Mfg,ISM Serv,Chicago PMI,Philly Fed,Philly Fed: New Orders,Richmond Fed,UoM,Conf Board,NFIB,NAHB,CPI,Core CPI,PPI,NFIB: Higher Prices,ISM Mfg: Prices,ISM Serv: Prices,Philly Fed: Px Pd
2021-02-28,100.544,64.0,60.8,56.4,61.8,25.5,37.6,16.0,76.8,95.2,95.8,84.0,1.7,1.3,2.5,25.0,86.0,71.8,49.6
2021-03-31,100.8838,78.0,63.8,62.3,65.0,40.3,45.9,17.0,84.9,114.9,98.2,82.0,2.6,1.6,5.9,26.0,85.6,72.9,58.1
2021-04-30,101.1686,70.2,61.0,63.0,70.8,45.6,61.4,17.0,88.3,117.5,99.8,83.0,4.2,3.0,9.7,36.0,89.6,75.0,65.1
2021-05-31,101.2563,67.6,61.9,63.9,71.3,32.7,47.6,21.0,82.9,120.0,99.6,83.0,5.0,3.8,8.7,40.0,88.0,78.2,64.6
2021-06-30,101.2701,69.2,61.1,61.2,66.1,31.4,70.0,27.0,85.5,128.9,102.5,81.0,5.4,4.5,9.7,47.0,92.1,78.0,69.4
2021-07-31,101.2258,72.2,60.0,64.0,71.0,27.3,52.1,24.0,81.2,125.1,99.7,80.0,5.4,4.3,9.9,46.0,85.7,82.3,64.4
2021-08-31,101.1554,74.8,59.6,61.7,66.4,19.7,39.2,14.0,70.3,115.2,100.1,75.0,5.3,4.0,10.7,49.0,79.4,76.7,55.4
2021-09-30,101.0915,71.4,60.7,62.1,66.2,32.9,29.4,-1.0,72.8,109.8,99.1,76.0,5.4,4.0,11.8,46.0,81.2,80.6,54.6
2021-10-31,101.0351,74.4,60.4,66.6,68.3,25.3,28.2,12.0,71.7,111.6,98.2,80.0,6.2,4.6,12.7,53.0,85.7,83.2,70.0
2021-11-30,100.9759,78.6,60.8,67.6,64.2,41.4,30.0,14.0,67.4,111.9,98.4,83.0,6.8,4.9,13.3,59.0,82.4,83.0,71.2
2021-12-31,100.8911,78.8,58.6,61.7,64.5,15.5,19.3,14.0,70.6,115.2,98.9,84.0,7.0,5.5,12.3,57.0,68.2,84.5,57.2
2022-01-31,100.7638,66.6,57.6,60.4,65.4,20.8,26.9,6.0,67.2,111.1,97.1,83.0,7.5,6.0,12.7,58.0,76.1,82.9,75.1
2022-02-28,100.5933,84.6,58.4,57.2,58.7,12.7,24.4,3.0,62.8,105.7,95.7,81.0,7.9,6.4,13.7,64.0,75.6,83.2,57.7
2022-03-31,100.376,79.0,57.0,58.4,61.9,23.2,19.9,11.0,59.4,107.6,93.2,79.0,8.5,6.5,15.3,66.0,87.1,82.9,65.7
2022-04-30,100.115,68.8,55.9,57.5,56.3,13.1,6.1,7.0,65.2,108.6,93.2,77.0,8.3,6.2,15.7,63.0,84.6,83.2,63.5
2022-05-31,99.8166,70.6,56.1,56.4,58.5,3.5,13.3,-9.0,58.4,103.2,93.1,69.0,8.6,6.0,16.8,65.0,82.2,80.9,57.0
2022-06-30,99.5204,69.2,53.1,56.0,54.7,-2.8,-6.3,-9.0,50.0,98.4,89.5,67.0,9.1,5.9,18.3,63.0,78.5,79.1,56.4
2022-07-31,99.2715,72.2,52.7,56.4,51.4,-7.2,-5.6,0.0,51.5,95.3,89.9,55.0,8.5,5.9,15.3,56.0,60.0,73.2,46.5
2022-08-31,99.0805,62.0,52.9,56.1,51.9,6.3,-7.0,-8.0,58.2,103.6,91.8,49.0,8.3,6.3,12.8,53.0,52.5,72.3,48.5
2022-09-30,98.9288,63.4,51.0,55.9,46.4,-7.3,3.1,0.0,58.6,107.8,92.1,46.0,8.2,6.6,11.6,51.0,51.7,69.8,46.3
2022-10-31,98.8046,65.2,50.0,54.5,45.9,-7.1,-14.8,-10.0,59.9,102.2,91.3,38.0,7.7,6.3,11.2,50.0,46.6,70.9,33.5
2022-11-30,98.7066,63.4,49.0,55.5,37.9,-15.5,-2.8,-9.0,56.8,101.4,91.9,33.0,7.1,6.0,10.5,51.0,43.0,70.1,26.2
2022-12-31,98.6401,64.0,48.4,49.2,45.1,-13.7,8.5,1.0,59.7,109.0,89.8,31.0,6.5,5.7,8.9,43.0,39.4,68.1,42.7
2023-01-31,98.5933,64.6,47.4,55.2,44.3,-8.9,2.4,-11.0,64.9,106.0,90.3,35.0,6.4,5.6,8.8,42.0,44.5,67.8,25.7
2023-02-28,98.5451,57.4,47.7,55.1,43.6,-24.3,9.2,-16.0,67.0,103.4,90.9,42.0,6.0,5.5,6.4,38.0,51.3,65.6,17.9
2023-03-31,98.4858,60.2,46.3,51.2,43.8,-23.2,4.6,-5.0,62.0,104.2,90.1,44.0,5.0,5.6,3.2,37.0,49.2,59.5,26.8
